Emp_ID,First_Name,Last_Name,Full Name,Gender,State,City,Education,BirthDate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating,Effective_TermDate,Age
00-95822412,Danielle,Johnson,Danielle Johnson,Female,New York,New York City,High School,13/02/1980,16/04/2016,05/07/2021,Customer Service,Help Desk Technician,81552,Needs Improvement,05/07/2021,45
00-42868828,John,Taylor,John Taylor,Male,North Carolina,Charlotte,Bachelor,22/09/1987,09/02/2017,14/06/2019,IT,System Administrator,107520,Good,14/06/2019,37
00-83197857,Erica,Mcclain,Erica Mcclain,Male,New York,New York City,Bachelor,19/05/1994,03/02/2016,06/03/2021,Operations,Logistics Coordinator,61104,Good,06/03/2021,31
00-13999315,Brittany,Johnson,Brittany Johnson,Male,New York,New York City,Bachelor,18/04/1980,06/02/2016,06/11/2018,Operations,Inventory Specialist,73770,Good,06/11/2018,45
00-90801586,Jeffery,Wagner,Jeffery Wagner,Female,New York,New York City,Bachelor,07/04/1985,11/01/2015,,Operations,Operations Analyst,55581,Satisfactory,22/06/2025,40
00-97226012,Anna,Baldwin,Anna Baldwin,Female,New York,New York City,Bachelor,31/05/1988,30/09/2022,29/03/2023,Operations,Operations Analyst,73800,Good,29/03/2023,37
00-70291817,Amy,Robinson,Amy Robinson,Male,New York,New York City,Bachelor,16/07/1991,16/08/2020,12/02/2021,Finance,Accountant,68181,Good,12/02/2021,33
00-31429110,Joshua,Booth,Joshua Booth,Female,New York,New York City,Bachelor,19/09/1995,22/10/2022,20/04/2023,Finance,Accounts Payable Specialist,54499,Good,20/04/2023,29
00-30868105,Linda,Wolfe,Linda Wolfe,Male,New York,New York City,High School,11/05/2002,13/05/2017,15/11/2021,Operations,Inventory Specialist,57340,Needs Improvement,15/11/2021,23
00-22448136,Joshua,Lewis,Joshua Lewis,Female,New York,New York City,Bachelor,21/11/1980,24/10/2018,30/03/2022,Operations,Logistics Coordinator,54065,Good,30/03/2022,44
00-56164955,Matthew,Davis,Matthew Davis,Female,New York,New York City,High School,08/02/1994,07/02/2021,06/08/2021,Marketing,SEO Specialist,83262,Needs Improvement,06/08/2021,31
00-71662963,Michael,Cooper,Michael Cooper,Female,New York,New York City,High School,26/04/1974,12/04/2020,28/01/2024,HR,Recruiter,61651,Needs Improvement,28/01/2024,51
00-84093639,Lindsay,Blair,Lindsay Blair,Male,New York,New York City,Bachelor,26/05/1967,28/07/2017,24/01/2018,Operations,Operations Analyst,75509,Good,24/01/2018,58
00-58537831,David,Nielsen,David Nielsen,Female,New York,New York City,High School,26/07/2001,31/01/2020,29/07/2020,Customer Service,Help Desk Technician,67011,Needs Improvement,29/07/2020,23
00-16150444,Andrea,Calderon,Andrea Calderon,Male,Michigan,Grand Rapids,Bachelor,22/05/1987,29/08/2022,25/02/2023,IT,IT Support Specialist,60136,Good,25/02/2023,38
00-41244663,Nicole,Ward,Nicole Ward,Male,New York,New York City,Bachelor,13/12/1963,16/03/2023,12/09/2023,Operations,Logistics Coordinator,67552,Satisfactory,12/09/2023,61
00-70855700,Janet,Williams,Janet Williams,Male,Michigan,Grand Rapids,Bachelor,26/12/2002,30/03/2021,26/09/2021,Operations,Inventory Specialist,59934,Good,26/09/2021,22
00-59684848,Kendra,Galloway,Kendra Galloway,Female,New York,New York City,PhD,01/04/1963,29/11/2018,08/12/2019,Sales,Sales Manager,104162,Excellent,08/12/2019,62
00-96977837,Jesse,Garcia,Jesse Garcia,Male,New York,New York City,Bachelor,03/02/1963,17/04/2016,29/01/2023,Customer Service,Customer Service Representative,63873,Good,29/01/2023,62
00-81691040,Shawn,Flowers,Shawn Flowers,Male,Michigan,Warren,Bachelor,28/06/1959,05/03/2022,01/09/2022,IT,IT Support Specialist,66250,Excellent,01/09/2022,66
00-60929647,Mitchell,Clark,Mitchell Clark,Male,New York,New York City,Bachelor,14/09/1973,14/04/2017,16/06/2024,Customer Service,Support Specialist,61729,Satisfactory,16/06/2024,51
00-84752529,Jacqueline,Sutton,Jacqueline Sutton,Female,New York,New York City,Master,29/06/1979,28/01/2017,06/08/2022,Sales,Sales Manager,84046,Good,06/08/2022,46
00-17507864,Chelsea,Jackson,Chelsea Jackson,Male,North Carolina,Raleigh,PhD,10/07/1994,11/10/2017,09/04/2018,Sales,Sales Specialist,69318,Excellent,09/04/2018,30
00-52339391,John,Ford,John Ford,Male,Pennsylvania,Philadelphia,Bachelor,15/07/2002,15/04/2019,12/10/2019,Sales,Sales Consultant,99002,Satisfactory,12/10/2019,22
00-86125617,Veronica,Bowman,Veronica Bowman,Male,New York,New York City,Bachelor,16/04/1990,05/08/2017,06/02/2018,Operations,Logistics Coordinator,69163,Good,06/02/2018,35
00-97971488,Jeffrey,Nguyen,Jeffrey Nguyen,Male,New York,New York City,Bachelor,18/12/1992,25/10/2020,27/10/2021,Operations,Inventory Specialist,65830,Good,27/10/2021,32
00-29175900,Kimberly,Perez,Kimberly Perez,Male,New York,New York City,Bachelor,19/11/1970,13/01/2017,,Marketing,Content Creator,68419,Good,22/06/2025,54
00-85345555,Linda,Morales,Linda Morales,Male,New York,New York City,Bachelor,20/04/1993,26/01/2020,09/04/2021,Sales,Sales Specialist,71110,Needs Improvement,09/04/2021,32
00-67503414,Jason,Hahn,Jason Hahn,Male,Ohio,Cleveland,Bachelor,25/01/1978,07/12/2017,04/06/2018,IT,System Administrator,84205,Excellent,04/06/2018,47
00-39436733,Jennifer,Lewis,Jennifer Lewis,Male,New York,New York City,Master,18/09/1982,12/07/2018,08/01/2019,Sales,Sales Specialist,67953,Good,08/01/2019,42
00-76238574,Randall,Rocha,Randall Rocha,Male,New York,New York City,High School,25/09/1960,27/06/2016,10/05/2021,IT,IT Support Specialist,58445,Needs Improvement,10/05/2021,64
00-24716857,Douglas,Taylor,Douglas Taylor,Female,New York,New York City,Bachelor,17/07/1992,17/10/2017,16/11/2021,Customer Service,Customer Service Representative,58697,Satisfactory,16/11/2021,32
00-66661351,Anna,Baker,Anna Baker,Male,New York,New York City,PhD,12/05/1970,15/08/2020,17/11/2022,Sales,Sales Specialist,77156,Excellent,17/11/2022,55
00-89978790,Ross,Silva,Ross Silva,Female,New York,New York City,Bachelor,29/11/2002,20/05/2024,16/11/2024,Sales,Sales Specialist,81038,Excellent,16/11/2024,22
00-84252722,Jeffrey,Bright,Jeffrey Bright,Male,New York,New York City,Bachelor,21/05/1980,17/07/2017,13/01/2018,Finance,Accounts Payable Specialist,71339,Satisfactory,13/01/2018,45
00-25374874,Trevor,Campos,Trevor Campos,Male,New York,New York City,Master,19/02/1983,01/12/2022,30/05/2023,Operations,Operations Analyst,81316,Excellent,30/05/2023,42
00-45812670,Daniel,Burton,Daniel Burton,Female,New York,New York City,Bachelor,23/06/2001,04/11/2022,14/02/2024,IT,Software Developer,96947,Excellent,14/02/2024,24
